epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.506,2.6985,3.61818,2.41187,0.00047,0.10294,0.00026,7e-05,4.50853,189.071,29.2663,0.000662162,0.000662162,0.000662162
2,202.588,2.77272,3.38788,2.44491,0.00095,0.17157,0.00064,0.00022,nan,nan,nan,0.00131567,0.00131567,0.00131567
3,303.399,2.73684,3.45643,2.44762,0.07652,0.05882,0.02331,0.00726,nan,nan,nan,0.00195598,0.00195598,0.00195598
4,402.818,2.68619,3.3034,2.39582,0.09422,0.12377,0.04193,0.0153,2.68199,3.97065,2.60217,0.0019406,0.0019406,0.0019406
5,503.145,2.59818,3.14576,2.31728,0.11436,0.08333,0.04099,0.01308,2.79404,3.66195,2.62193,0.0019208,0.0019208,0.0019208
6,599.878,2.50611,3.04472,2.26328,0.11106,0.14851,0.04835,0.01415,2.49341,3.60002,2.54175,0.001901,0.001901,0.001901
7,695.754,2.49021,2.94455,2.23746,0.16812,0.19363,0.08512,0.02853,2.40489,3.08016,2.39649,0.0018812,0.0018812,0.0018812
8,796.283,2.46896,2.86619,2.21806,0.11057,0.1201,0.0554,0.01711,2.45904,3.33591,2.42758,0.0018614,0.0018614,0.0018614
9,893.196,2.41819,2.83297,2.2141,0.14765,0.16054,0.06721,0.02297,2.40782,3.08449,2.41359,0.0018416,0.0018416,0.0018416
10,988.351,2.40184,2.77939,2.18,0.23901,0.22131,0.14528,0.0492,2.28589,2.7877,2.29866,0.0018218,0.0018218,0.0018218
11,1086.54,2.3477,2.70235,2.16637,0.22208,0.19975,0.11495,0.04044,2.34149,2.89711,2.40029,0.001802,0.001802,0.001802
12,1182.31,2.37013,2.71685,2.13826,0.23428,0.23407,0.14336,0.04964,2.27981,2.69535,2.33458,0.0017822,0.0017822,0.0017822
13,1282.93,2.31965,2.62934,2.11802,0.24673,0.21814,0.12525,0.04032,2.372,2.75927,2.46875,0.0017624,0.0017624,0.0017624
14,1379.51,2.30623,2.61725,2.12066,0.23135,0.19485,0.13416,0.04414,2.35284,2.84084,2.39603,0.0017426,0.0017426,0.0017426
15,1474.77,2.27962,2.55941,2.07329,0.29036,0.23652,0.17728,0.06051,2.25169,2.55683,2.26912,0.0017228,0.0017228,0.0017228
16,1572.08,2.26393,2.51654,2.06112,0.31328,0.23039,0.18556,0.0653,2.22599,2.71905,2.26094,0.001703,0.001703,0.001703
17,1667.19,2.24335,2.49499,2.0486,0.326,0.30515,0.22178,0.07719,2.20916,2.52665,2.29303,0.0016832,0.0016832,0.0016832
18,1764.68,2.24711,2.53071,2.06424,0.30172,0.27083,0.22472,0.07882,2.17544,2.48023,2.2106,0.0016634,0.0016634,0.0016634
19,1865.34,2.25319,2.46033,2.06349,0.27288,0.24755,0.17253,0.05974,2.29237,2.69779,2.25265,0.0016436,0.0016436,0.0016436
20,1960.63,2.19865,2.41891,2.01341,0.27927,0.31985,0.18753,0.06556,2.15394,2.62635,2.18575,0.0016238,0.0016238,0.0016238
21,2055.79,2.2021,2.42798,2.01989,0.35373,0.30922,0.25347,0.09065,2.13365,2.36194,2.19845,0.001604,0.001604,0.001604
22,2152.31,2.19498,2.36786,2.0182,0.41787,0.34804,0.31906,0.11542,2.10139,2.32353,2.16067,0.0015842,0.0015842,0.0015842
23,2247.75,2.16597,2.3407,1.99904,0.35728,0.29289,0.24257,0.08506,2.11369,2.36405,2.14371,0.0015644,0.0015644,0.0015644
24,2342.11,2.15048,2.29781,1.99048,0.38527,0.36397,0.29006,0.10351,2.11346,2.32281,2.18305,0.0015446,0.0015446,0.0015446
25,2437.07,2.14149,2.26135,1.96199,0.44368,0.34559,0.34097,0.12582,2.12041,2.2028,2.14962,0.0015248,0.0015248,0.0015248
26,2538.29,2.15528,2.26624,1.97491,0.4744,0.34436,0.3387,0.12175,2.146,2.26975,2.19374,0.001505,0.001505,0.001505
27,2633.03,2.11609,2.20724,1.94031,0.45768,0.32108,0.31886,0.11551,2.21538,2.31534,2.2067,0.0014852,0.0014852,0.0014852
28,2727.52,2.1262,2.23322,1.97685,0.47642,0.39216,0.36824,0.13446,2.11856,2.1308,2.15969,0.0014654,0.0014654,0.0014654
29,2824.71,2.11143,2.20318,1.94965,0.41341,0.32353,0.32679,0.12233,2.16,2.2825,2.19531,0.0014456,0.0014456,0.0014456
30,2919.55,2.12603,2.1944,1.94448,0.44168,0.39461,0.35065,0.13277,2.10953,2.15598,2.15136,0.0014258,0.0014258,0.0014258
31,3013.26,2.0813,2.15271,1.92096,0.48587,0.36887,0.36977,0.13746,2.07921,2.14803,2.10812,0.001406,0.001406,0.001406
32,3107.85,2.11186,2.1708,1.94481,0.49114,0.36642,0.36091,0.13629,2.12421,2.16483,2.19115,0.0013862,0.0013862,0.0013862
33,3202.38,2.08047,2.15997,1.93483,0.46752,0.37745,0.38335,0.14571,2.08777,2.11571,2.17195,0.0013664,0.0013664,0.0013664
